MMAF_CODE,MMSI,COLCT_DT,LATITUDE,LONGITUDE,LANTERN_STATUS,RACON_STATUS,DATALOGGER_STATUS,SPARE_STATUS,MAIN_VOLT_STATUS,SOLAR_VOLT_STATUS,BATTERY_VOLT_STATUS,SPARE_VOLT_STATUS,AIS_CURR_STATUS,LANTERN_CURR_STATUS,DATALOGGER_CURR_STATUS,CHARGER_CURR_STATUS,DISCHARGER_CURR_STATUS
105,994402651,2.0181E+13,36.64511111,126.0027222,0,,2,0,11.8,25.5,25.5,0,0,0,0,,0.4
105,994401006,2.0181E+13,37.09895,126.5948667,0,2,2,0,12.6,0,13.9,0,0.23,0,0,0,
105,4406107,2.0181E+13,36.05306667,126.5418667,1,2,2,0,13,0,14.3,0,10.25,1.23,0,0,
105,994403658,2.0181E+13,35.61908333,126.3633667,1,2,2,0,13.3,0,13.3,0,0.36,0.6,0,5.23,
105,4406107,2.0181E+13,36.05306667,126.5418833,1,2,2,0,12.4,0,13.6,0,10.22,1.29,0,0,
105,994402859,2.0181E+13,37.03241667,126.3695833,1,,2,0,12.1,0,12.2,0,0,0,0,,1.6
105,994403652,2.0181E+13,36.08116667,126.4359167,0,2,2,0,13.7,0,13.7,0,0.29,0,0,0,
105,994403651,2.0181E+13,35.98948333,126.2224,1,2,2,0,13,0,14.3,0,0.25,0.74,0,0,
105,4406100,2.0181E+13,35.9879,126.5139667,1,2,2,0,12.1,0,12.2,0,0.26,0.54,0,0,
105,994402859,2.0181E+13,37.03241667,126.3695833,1,,2,0,12.1,0,12.2,0,0,0,0,,1.6
105,4406104,2.0181E+13,35.97871667,126.4912,0,2,2,0,13.6,0,15,0,0.24,0,0,0,
105,4406105,2.0181E+13,35.99683333,126.5157333,1,2,2,0,13.8,4.3,14.1,0,0.36,1.16,0,0,
105,4406108,2.0181E+13,36.04163333,126.5290667,1,2,2,0,12.6,0,13.1,0,0.3,0.77,0,0,
105,994402675,2.0181E+13,36.31994444,126.4731111,1,,2,0,12.1,0,12.7,0,0,0,0,,0.5
105,994403651,2.0181E+13,35.98948333,126.2224,1,2,2,0,13,0,14.3,0,0.25,0.74,0,0,
105,994402675,2.0181E+13,36.31994444,126.4731111,1,,2,0,12.1,0,12.7,0,0,0,0,,0.5
105,994402859,2.0181E+13,37.03241667,126.3695833,1,,2,0,12.1,0,12.2,0,0,0,0,,1.6
105,4406106,2.0181E+13,36.05011667,126.5626833,1,2,2,0,12.6,0,12.6,0,0.43,0.58,0,,0.05
105,994402675,2.0181E+13,36.31994444,126.4731111,1,,2,0,12.1,0,12.7,0,0,0,0,,0.5
105,994402893,2.0181E+13,36.72319444,125.94625,1,,2,0,12.1,0,12.3,0,0,0,0,,0.2
105,994402675,2.0181E+13,36.31994444,126.4731111,1,,2,0,12.1,0,12.7,0,0,0,0,,0.5
105,994402893,2.0181E+13,36.72319444,125.94625,1,,2,0,12.1,0,12.3,0,0,0,0,,0.2
105,994402675,2.0181E+13,36.31994444,126.4731111,1,,2,0,12.1,0,12.7,0,0,0,0,,0.5
105,994402872,2.0181E+13,37.03902778,126.3870556,1,,2,0,12.7,0,12.6,0,0,0,0,,0.4
105,994401017,2.0181E+13,36.92866667,125.7870167,0,2,2,0,0,0,0,0,0.09,0,0.07,0,
105,994402682,2.0181E+13,0,0,1,,2,0,13.6,25.5,25.5,0,0,0,0,,1.28
105,994402872,2.0181E+13,37.03902778,126.3870556,1,,2,0,12.7,0,12.6,0,0,0,0,,0.4
105,994401034,2.0181E+13,37.05955,126.0736,1,2,2,0,14,0,14.1,0,0.09,0.16,0,,1.02
105,994401017,2.0181E+13,36.92866667,125.7870167,0,2,2,0,0,0,0,0,0.09,0,0.07,0,
105,994402682,2.0181E+13,0,0,1,,2,0,13.6,25.5,25.5,0,0,0,0,,1.28
105,994402872,2.0181E+13,37.03902778,126.3870556,1,,2,0,12.7,0,12.6,0,0,0,0,,0.4
105,994402682,2.0181E+13,0,0,1,,2,0,13.6,25.5,25.5,0,0,0,0,,1.28
105,994401034,2.0181E+13,37.05955,126.0736,1,2,2,0,14,0,14.1,0,0.09,0.16,0,,1.02
105,994402682,2.0181E+13,0,0,1,,2,0,13.6,25.5,25.5,0,0,0,0,,1.28
105,994402872,2.0181E+13,37.03902778,126.3870556,1,,2,0,12.7,0,12.6,0,0,0,0,,0.4
105,994401034,2.0181E+13,37.05955,126.0736,1,2,2,0,14,0,14.1,0,0.09,0.16,0,,1.02
105,994402886,2.0181E+13,0,0,1,,2,0,12.1,0,12.9,0,0,0,0,,0.2
105,994402691,2.0181E+13,37.07602778,126.2926111,1,,2,0,12.1,0,12.8,0,0,0,0,,0.6
105,994402691,2.0181E+13,37.07602778,126.2926111,1,,2,0,12.1,0,12.8,0,0,0,0,,0.6
105,994402691,2.0181E+13,37.07602778,126.2926111,1,,2,0,12.1,0,12.8,0,0,0,0,,0.6
105,994402691,2.0181E+13,37.07602778,126.2926111,1,,2,0,12.1,0,12.8,0,0,0,0,,0.6
105,994402690,2.0181E+13,36.77322222,125.9746111,1,,2,0,12.7,0,12.7,0,0,0,0,0,
105,994402690,2.0181E+13,36.77322222,125.9746111,1,,2,0,12.7,0,12.7,0,0,0,0,0,
105,994403656,2.0181E+13,35.62095,126.4628333,1,2,2,0,11.9,0,0,0,0.53,0.32,0,0.02,
105,994402893,2.0181E+13,36.72319444,125.94625,1,,2,0,12.1,0,12.3,0,0,0,0,,0.2
105,994402893,2.0181E+13,36.72319444,125.94625,1,,2,0,12.1,0,12.3,0,0,0,0,,0.2
105,994401038,2.0181E+13,37.32853333,126.3916,1,2,2,0,13.2,0,13.1,0,0.06,0.16,0,0.12,
105,994401038,2.0181E+13,37.32853333,126.3915833,1,2,2,0,13.2,0,13.1,0,0.06,0.16,0,0.12,
105,994402690,2.0181E+13,36.77322222,125.9746111,1,,2,0,12.5,0,12.6,0,0,0,0,,1.6
105,994402863,2.0181E+13,37.03286111,126.3965556,1,,2,0,12.5,25.5,25.5,0,0,0,0,,5.89
105,994402879,2.0181E+13,37.04166667,126.3216667,1,,2,0,12.9,0,12.9,0,0,0,0,,0.3
105,994402863,2.0181E+13,37.03286111,126.3965556,1,,2,0,12.5,25.5,25.5,0,0,0,0,,5.89
105,994403663,2.0181E+13,36.12526667,125.9683833,0,2,2,0,11.8,0,0,0,0.46,0.12,0,,0.03
105,994401036,2.0181E+13,36.96938333,125.8536667,0,2,2,0,14,0,14,0,0.07,0.05,0,,0.46
105,994402692,2.0181E+13,36.89497222,126.1503056,1,,2,0,12.9,0,12.8,0,0,0,0,,0.29
105,994401036,2.0181E+13,36.96938333,125.8536667,0,2,2,0,14,0,14,0,0.07,0.05,0,,0.46
105,994402692,2.0181E+13,36.89497222,126.1503056,1,,2,0,12.9,0,12.8,0,0,0,0,,0.29
105,994401036,2.0181E+13,36.96938333,125.8536667,0,2,2,0,14,0,14,0,0.07,0.05,0,,0.46
105,994401023,2.0181E+13,37.32806667,126.2227,0,2,2,0,13.9,0,15.3,0,0.02,0,0,,4.97
105,994402692,2.0181E+13,36.89497222,126.1503056,1,,2,0,12.9,0,12.8,0,0,0,0,,0.29
105,994402692,2.0181E+13,36.89497222,126.1503056,1,,2,0,12.9,0,12.8,0,0,0,0,,0.29
105,994401036,2.0181E+13,36.96938333,125.8536667,0,2,2,0,14,0,14,0,0.07,0.05,0,,0.46
105,994402651,2.0181E+13,36.64511111,126.0027222,0,,2,0,11.8,25.5,25.5,0,0,0,0,,0.37
105,994402692,2.0181E+13,36.89497222,126.1503056,1,,2,0,12.9,0,12.8,0,0,0,0,,0.29
105,994402651,2.0181E+13,36.64511111,126.0027222,0,,2,0,11.8,25.5,25.5,0,0,0,0,,0.37
105,994402651,2.0181E+13,36.64511111,126.0027222,0,,2,0,11.8,25.5,25.5,0,0,0,0,,0.37
105,994401018,2.0181E+13,37.43838333,126.5867167,0,2,2,0,13.5,0,14.8,0,0.02,0,0,,1.12
105,994401000,2.0181E+13,37.21843333,126.4194333,0,2,2,0,13,0,14.3,0,0.02,0.06,0,,4.97
105,994401000,2.0181E+13,37.21843333,126.4194333,0,2,2,0,13,0,14.3,0,0.02,0.06,0,,4.97
105,994402651,2.0181E+13,36.64511111,126.0027222,0,,2,0,11.8,25.5,25.5,0,0,0,0,,0.37
105,994402651,2.0181E+13,36.64511111,126.0027222,0,,2,0,11.8,25.5,25.5,0,0,0,0,,0.37
105,994401005,2.0181E+13,37.10738333,126.6031667,0,2,2,0,12.9,0,14.2,0,0.57,0,0,0,
105,4406107,2.0181E+13,36.05306667,126.5418833,1,2,2,0,12.5,0,13.7,0,10.22,1.24,0,0,
105,994401006,2.0181E+13,37.09895,126.5948667,0,2,2,0,12.6,0,13.9,0,0.23,0,0,0,
105,994403658,2.0181E+13,35.61906667,126.36335,1,2,2,0,13.3,0,13.3,0,0.36,0.54,0,5.2,
105,4406107,2.0181E+13,36.05306667,126.5418833,1,2,2,0,12.5,0,13.7,0,10.22,1.24,0,0,
105,994401004,2.0181E+13,37.12765,126.5203667,0,2,2,0,13.4,0,14.8,0,0.24,0,0,,0.6
105,994401005,2.0181E+13,37.10738333,126.6031667,0,2,2,0,12.9,0,14.2,0,0.57,0,0,0,
105,994401003,2.0181E+13,37.14241667,126.5288667,0,2,2,0,12.2,8.5,12.3,0,0.21,0,0,,3.1
105,994403652,2.0181E+13,36.08116667,126.4359167,0,2,2,0,13.7,0,13.7,0,0.29,0,0,0,
105,994403652,2.0181E+13,36.08116667,126.4359167,0,2,2,0,13.7,0,13.7,0,0.29,0,0,0,
105,4406100,2.0181E+13,35.98788333,126.5139833,1,2,2,0,12.1,0,12.3,0,0.26,0.56,0,0,
105,4406105,2.0181E+13,35.99685,126.51575,1,2,2,0,13.8,4.3,14.1,0,0.36,0.52,0,0,
105,994403651,2.0181E+13,35.98948333,126.2223667,1,2,2,0,12.9,0,14.2,0,0.26,0.7,0,0,
105,4406108,2.0181E+13,36.04163333,126.5290667,1,2,2,0,12.7,0,13.1,0,0.33,0.79,0,0,
105,4406104,2.0181E+13,35.9787,126.4912167,0,2,2,0,13.6,0,15,0,0.22,0,0,0,
105,994402856,2.0181E+13,36.99183333,126.2885278,1,,2,0,12.3,0.7,12.5,0,0,0,0,,2.3
105,4406104,2.0181E+13,35.9787,126.4912167,0,2,2,0,13.6,0,15,0,0.22,0,0,0,
105,994402983,2.0181E+13,35.39025,126.40305,1,2,2,0,12.3,12.3,12.4,0,0.31,0.38,0,0.02,
105,4406106,2.0181E+13,36.05011667,126.5626833,1,2,2,0,12.4,0,12.6,0,0.43,0.64,0,,0.06
105,994402856,2.0181E+13,36.99183333,126.2885278,1,,2,0,12.3,0.7,12.5,0,0,0,0,,2.3
105,994402856,2.0181E+13,36.99183333,126.2885278,1,,2,0,12.3,0.7,12.5,0,0,0,0,,2.3
105,994402893,2.0181E+13,36.72319444,125.94625,1,,2,0,12.1,0,12.3,0,0,0,0,,0.2
105,994401017,2.0181E+13,36.92866667,125.787,0,2,2,0,0,0,0,0,0.09,0,0.07,0,
105,994401017,2.0181E+13,36.92866667,125.787,0,2,2,0,0,0,0,0,0.09,0,0.07,0,
105,994402877,2.0181E+13,37.04555556,126.343625,1,,2,0,12.3,0,12.4,0,0,0,0,,0.4
105,994401034,2.0181E+13,37.05953333,126.0736,1,2,2,0,14.1,0,14.1,0,0.09,0.16,0,,0.57
105,994401017,2.0181E+13,36.92866667,125.787,0,2,2,0,0,0,0,0,0.09,0,0.07,0,
105,994402877,2.0181E+13,37.04555556,126.343625,1,,2,0,12.3,0,12.4,0,0,0,0,,0.4
105,994402877,2.0181E+13,37.04555556,126.343625,1,,2,0,12.3,0,12.4,0,0,0,0,,0.4
105,994402877,2.0181E+13,37.04555556,126.343625,1,,2,0,12.3,0,12.4,0,0,0,0,,0.4
105,994402877,2.0181E+13,37.04555556,126.343625,1,,2,0,12.3,0,12.4,0,0,0,0,,0.4
105,994402870,2.0181E+13,37.05286111,126.3775556,0,,2,0,12.4,0,12.4,0,0,0,0,,0.3
105,994402886,2.0181E+13,0,0,1,,2,0,12.1,0,12.9,0,0,0,0,,0.2
105,994402886,2.0181E+13,0,0,1,,2,0,12.1,0,12.9,0,0,0,0,,0.2
105,994401029,2.0181E+13,0,0,1,,2,0,13,0,12.9,0,0,0,0,,1.4
105,994401029,2.0181E+13,0,0,1,,2,0,13,0,12.9,0,0,0,0,,1.4
105,994402879,2.0181E+13,37.04166667,126.3216667,1,,2,0,12.7,0,12.7,0,0,0,0,,1.8
105,994402863,2.0181E+13,37.03286111,126.3965556,1,,2,0,12.7,25.5,25.5,0,0,0,0,,5.89
105,994402863,2.0181E+13,37.03286111,126.3965556,1,,2,0,12.7,25.5,25.5,0,0,0,0,,5.89
105,994402863,2.0181E+13,37.03286111,126.3965556,1,,2,0,12.7,25.5,25.5,0,0,0,0,,5.89
105,994402690,2.0181E+13,36.77322222,125.9746111,1,,2,0,12.7,0,12.7,0,0,0,0,0,
105,994402690,2.0181E+13,36.77322222,125.9746111,1,,2,0,12.7,0,12.7,0,0,0,0,0,
105,994402879,2.0181E+13,37.04166667,126.3216667,1,,2,0,12.7,0,12.7,0,0,0,0,,1.8
105,994402863,2.0181E+13,37.03286111,126.3965556,1,,2,0,12.7,25.5,25.5,0,0,0,0,,5.89
105,994402983,2.0181E+13,35.39028333,126.4030667,1,2,2,0,12.3,12.3,12.4,0,0.3,0.38,0,0.03,
105,994403663,2.0181E+13,36.12526667,125.9683833,0,2,2,0,11.8,0,0,0,0.46,0.12,0,,0.03
105,994401036,2.0181E+13,36.96938333,125.85365,0,2,2,0,13.9,0,13.9,0,0.07,0.05,0,,0.49
105,994401036,2.0181E+13,36.96938333,125.85365,0,2,2,0,13.9,0,13.9,0,0.07,0.05,0,,0.49
105,994402692,2.0181E+13,36.89497222,126.1503056,1,,2,0,12.9,0,12.8,0,0,0,0,,0.32
105,994401036,2.0181E+13,36.96938333,125.85365,0,2,2,0,13.9,0,13.9,0,0.07,0.05,0,,0.49
105,994402692,2.0181E+13,36.89497222,126.1503056,1,,2,0,12.9,0,12.8,0,0,0,0,,0.32
105,994401023,2.0181E+13,37.32806667,126.2227,0,2,2,0,13.9,0,15.3,0,0.03,0,0,,5.52
105,994402692,2.0181E+13,36.89497222,126.1503056,1,,2,0,12.9,0,12.8,0,0,0,0,,0.32
105,994401036,2.0181E+13,36.96938333,125.85365,0,2,2,0,13.9,0,13.9,0,0.07,0.05,0,,0.49
105,994401036,2.0181E+13,36.96938333,125.85365,0,2,2,0,13.9,0,13.9,0,0.07,0.05,0,,0.49
105,994402651,2.0181E+13,36.64511111,126.0027222,0,,2,0,11.7,25.5,25.5,0,0,0,0,,0.39
105,994402651,2.0181E+13,36.64511111,126.0027222,0,,2,0,11.7,25.5,25.5,0,0,0,0,,0.39
105,994402692,2.0181E+13,36.89497222,126.1503056,1,,2,0,12.9,0,12.8,0,0,0,0,,0.32
105,994402692,2.0181E+13,36.89497222,126.1503056,1,,2,0,12.9,0,12.8,0,0,0,0,,0.32
105,994402651,2.0181E+13,36.64511111,126.0027222,0,,2,0,11.7,25.5,25.5,0,0,0,0,,0.39
105,994401018,2.0181E+13,37.43838333,126.5867,0,2,2,0,13.5,0,14.9,0,0.02,0,0,,1.22
105,994401000,2.0181E+13,37.21841667,126.4194167,0,2,2,0,13,0,14.3,0,0.02,0.07,0,,3.86
105,994402651,2.0181E+13,36.64511111,126.0027222,0,,2,0,11.7,25.5,25.5,0,0,0,0,,0.39
105,994402651,2.0181E+13,36.64511111,126.0027222,0,,2,0,11.7,25.5,25.5,0,0,0,0,,0.39
105,4406107,2.0181E+13,36.05306667,126.5418833,1,2,2,0,11.9,0,13.1,0,10.19,1.08,0,0,
105,994401006,2.0181E+13,37.09893333,126.5948333,0,2,2,0,12.6,0,13.9,0,0.26,0,0,0,
105,994401003,2.0181E+13,37.14241667,126.52885,0,2,2,0,12.2,8.5,12.3,0,0.21,0,0,,3.19
105,994401005,2.0181E+13,37.1074,126.6031667,0,2,2,0,12.9,0,14.2,0,0.46,0,0,0,
105,994401006,2.0181E+13,37.09893333,126.5948333,0,2,2,0,12.6,0,13.9,0,0.26,0,0,0,
105,4406107,2.0181E+13,36.05306667,126.5418833,1,2,2,0,11.9,0,13.1,0,10.19,1.08,0,0,
105,994403652,2.0181E+13,36.08116667,126.4359333,0,2,2,0,13.7,0,13.7,0,0.27,0,0,0,
105,994403652,2.0181E+13,36.08116667,126.4359333,0,2,2,0,13.7,0,13.7,0,0.27,0,0,0,
105,994403651,2.0181E+13,35.9895,126.2224,1,2,2,0,13,0,14.3,0,0.24,0.7,0,0,
105,4406105,2.0181E+13,35.99685,126.5157333,1,2,2,0,13.8,4.3,14.1,0,0.36,1.5,0,0,
105,4406100,2.0181E+13,35.9879,126.5139667,1,2,2,0,12.1,0,12.2,0,0.27,0.56,0,0,
105,4406100,2.0181E+13,35.9879,126.5139667,1,2,2,0,12.1,0,12.2,0,0.27,0.56,0,0,
105,4406106,2.0181E+13,36.05011667,126.5627,1,2,2,0,12.6,0,12.6,0,0.43,0.58,0,,0.05
105,4406108,2.0181E+13,36.04163333,126.5290667,1,2,2,0,12.6,0,13.1,0,0.31,0.78,0,0,
105,994402856,2.0181E+13,36.99183333,126.2885278,1,,2,0,12.8,0,12.9,0,0,0,0,,1.6
105,994403664,2.0181E+13,35.85821667,126.31515,0,2,2,0,11.9,0,0,0,0.59,0.07,0,0,
105,994402983,2.0181E+13,35.39026667,126.4030667,1,2,2,0,12.3,12.3,12.4,0,0.31,0.38,0,0.03,
105,994403659,2.0181E+13,35.98048333,126.6080333,0,2,,0,13.8,0,15.2,0,0.34,0.34,0.27,0.08,
105,994402856,2.0181E+13,36.99183333,126.2885278,1,,2,0,12.8,0,12.9,0,0,0,0,,1.6
105,994402893,2.0181E+13,36.72319444,125.94625,1,,2,0,12.1,0,12.3,0,0,0,0,,0.2
105,994402856,2.0181E+13,36.99183333,126.2885278,1,,2,0,12.8,0,12.9,0,0,0,0,,1.6
105,994402886,2.0181E+13,0,0,1,,2,0,12.1,0,12.7,0,0,0,0,,2.2
105,994402886,2.0181E+13,0,0,1,,2,0,12.1,0,12.7,0,0,0,0,,2.2
105,994401034,2.0181E+13,37.05953333,126.0736,1,2,2,0,14.1,0,14.1,0,0.09,0.16,0,,0.57
105,994402690,2.0181E+13,36.77322222,125.9746111,1,,2,0,12.5,0,12.6,0,0,0,0,,1.6
105,994402887,2.0181E+13,36.88477778,126.1777222,1,,2,0,12.1,25.4,2.8,0,0,0,0,,2
105,994402983,2.0181E+13,35.39025,126.4030667,1,2,2,0,12.3,12.3,12.4,0,0.31,0.38,0,0.03,
105,994402887,2.0181E+13,36.88477778,126.1777222,1,,2,0,12.1,25.4,2.8,0,0,0,0,,2
105,994402887,2.0181E+13,36.88477778,126.1777222,1,,2,0,12.1,25.4,2.8,0,0,0,0,,2
105,994402861,2.0181E+13,37.03472222,126.3826389,1,,2,0,12,0,12.1,0,0,0,0,,1.9
105,994401038,2.0181E+13,37.32853333,126.3915833,1,2,2,0,13.2,0,13.1,0,0.06,0.16,0,,2.97
105,994402887,2.0181E+13,36.88477778,126.1777222,1,,2,0,12.1,25.4,2.8,0,0,0,0,,2
105,994402887,2.0181E+13,36.88477778,126.1777222,1,,2,0,12.1,25.4,2.8,0,0,0,0,,2
105,994402861,2.0181E+13,37.03472222,126.3826389,1,,2,0,12,0,12.1,0,0,0,0,,1.9
105,994402861,2.0181E+13,37.03472222,126.3826389,1,,2,0,12,0,12.1,0,0,0,0,,1.9
105,994401038,2.0181E+13,37.32853333,126.3915833,1,2,2,0,13.2,0,13.1,0,0.06,0.16,0,,2.97
105,994402861,2.0181E+13,37.03472222,126.3826389,1,,2,0,12,0,12.1,0,0,0,0,,1.9
105,994401038,2.0181E+13,37.32853333,126.3915833,1,2,2,0,13.2,0,13.1,0,0.06,0.16,0,,2.97
105,994401027,2.0181E+13,0,0,1,,2,0,12.6,25.5,25.5,0,0,0,0,,1.82
105,994401035,2.0181E+13,0,0,1,,2,0,13,25.5,25.5,0,0,0,0,,2.37
105,994401035,2.0181E+13,0,0,1,,2,0,13,25.5,25.5,0,0,0,0,,2.37
105,994401027,2.0181E+13,0,0,1,,2,0,12.6,25.5,25.5,0,0,0,0,,1.82
105,994401028,2.0181E+13,0,0,0,,2,0,12.1,0,12.8,0,0,0,0,,0.4
105,994401028,2.0181E+13,0,0,0,,2,0,12.1,0,12.8,0,0,0,0,,0.4
105,994401027,2.0181E+13,0,0,1,,2,0,12.6,25.5,25.5,0,0,0,0,,1.82
105,994401035,2.0181E+13,0,0,1,,2,0,13,25.5,25.5,0,0,0,0,,2.37
105,994401028,2.0181E+13,0,0,0,,2,0,12.1,0,12.8,0,0,0,0,,0.4
105,994401028,2.0181E+13,0,0,0,,2,0,12.1,0,12.8,0,0,0,0,,0.4
105,994402983,2.0181E+13,35.39025,126.4030667,1,2,2,0,12.3,12.3,12.4,0,0.31,0.37,0,0.03,
105,994403663,2.0181E+13,36.12526667,125.9683833,0,2,2,0,11.8,0,0,0,0.46,0.12,0,,0.02
105,994403664,2.0181E+13,35.85821667,126.31515,0,2,2,0,11.9,0,0,0,0.59,0.07,0,0,
105,994401036,2.0181E+13,36.96938333,125.8536667,0,2,2,0,14,0,14,0,0.06,0.05,0,,0.41
105,994402692,2.0181E+13,36.89497222,126.1503056,1,,2,0,12.9,0,12.8,0,0,0,0,,0.31
105,994401036,2.0181E+13,36.96938333,125.8536667,0,2,2,0,14,0,14,0,0.06,0.05,0,,0.41
105,994402692,2.0181E+13,36.89497222,126.1503056,1,,2,0,12.9,0,12.8,0,0,0,0,,0.31
105,994401023,2.0181E+13,37.32806667,126.2227167,0,2,2,0,13.9,0,15.3,0,0.03,0,0,,8.1
105,994402692,2.0181E+13,36.89497222,126.1503056,1,,2,0,12.9,0,12.8,0,0,0,0,,0.31
105,994401036,2.0181E+13,36.96938333,125.8536667,0,2,2,0,14,0,14,0,0.06,0.05,0,,0.41
105,994401036,2.0181E+13,36.96938333,125.8536667,0,2,2,0,14,0,14,0,0.06,0.05,0,,0.41
105,994402692,2.0181E+13,36.89497222,126.1503056,1,,2,0,12.9,0,12.8,0,0,0,0,,0.31
105,994403659,2.0181E+13,35.98046667,126.6080167,0,2,,0,13.8,0,15.2,0,0.33,0,0.24,0.13,
105,994401000,2.0181E+13,37.21843333,126.4194333,0,2,2,0,13,0,14.3,0,0.03,0.08,0,,3.55
105,994401042,2.0181E+13,37.10868333,126.53965,0,2,,0,12.4,0,13.6,0,0.36,0,0.21,3.68,
105,4406107,2.0181E+13,36.05306667,126.5418833,1,2,2,0,12.3,0,13.5,0,10.21,1.24,0,0,
105,994403658,2.0181E+13,35.61908333,126.36335,1,2,2,0,13.4,0,13.4,0,0.34,0.54,0,5.22,
105,994401003,2.0181E+13,37.14241667,126.5288667,0,2,2,0,12.2,8.5,12.3,0,0.21,0,0,,3.23
105,4406107,2.0181E+13,36.05306667,126.5418833,1,2,2,0,12.3,0,13.5,0,10.21,1.24,0,0,
105,994401006,2.0181E+13,37.09896667,126.5948667,0,2,2,0,12.6,0,13.9,0,0.26,0,0,0,
105,994401042,2.0181E+13,37.10868333,126.53965,0,2,,0,12.4,0,13.6,0,0.36,0,0.21,3.68,
105,994401005,2.0181E+13,37.1074,126.6031667,0,2,2,0,12.9,0,14.2,0,0.24,0,0,0,
105,994403660,2.0181E+13,35.98326667,126.6413,1,2,2,0,12.7,0,14,0,0.29,2.71,0,0,
105,994402859,2.0181E+13,37.03241667,126.3695833,1,,2,0,12.4,0,12.5,0,0,0,0,,0.2
105,994403651,2.0181E+13,35.98948333,126.2223833,1,2,2,0,13,0,14.3,0,0.26,0.72,0,0,
105,994403652,2.0181E+13,36.08115,126.4359167,0,2,2,0,13.6,0,13.6,0,0.28,0,0,0,
105,994402859,2.0181E+13,37.03241667,126.3695833,1,,2,0,12.4,0,12.5,0,0,0,0,,0.2
105,4406105,2.0181E+13,35.99685,126.51575,1,2,2,0,13.9,4.3,14.1,0,0.36,0.53,0,0,
105,994402893,2.0181E+13,36.72319444,125.94625,1,,2,0,12.1,0,12.3,0,0,0,0,,0.2
105,994402856,2.0181E+13,36.99183333,126.2885278,1,,2,0,12.8,0,12.9,0,0,0,0,,1.6
105,994401017,2.0181E+13,36.92866667,125.7870333,0,2,2,0,0,0,0,0,0.09,0,0.07,0,
105,994401017,2.0181E+13,36.92866667,125.7870333,0,2,2,0,0,0,0,0,0.09,0,0.07,0,
105,994401017,2.0181E+13,36.92866667,125.7870333,0,2,2,0,0,0,0,0,0.09,0,0.07,0,
105,994402877,2.0181E+13,37.04555556,126.343625,1,,2,0,12.3,0,12.4,0,0,0,0,,0.4
105,994403659,2.0181E+13,35.98048333,126.6080333,0,2,,0,13.8,0,15.2,0,0.34,0.34,0.27,0.08,
105,994401017,2.0181E+13,36.92866667,125.7870333,0,2,2,0,0,0,0,0,0.09,0,0.07,0,
105,994402877,2.0181E+13,37.04555556,126.343625,1,,2,0,12.3,0,12.4,0,0,0,0,,0.4
105,994402877,2.0181E+13,37.04555556,126.343625,1,,2,0,12.3,0,12.4,0,0,0,0,,0.4
105,994402877,2.0181E+13,37.04555556,126.343625,1,,2,0,12.3,0,12.4,0,0,0,0,,0.4
105,994402886,2.0181E+13,0,0,1,,2,0,12.1,0,12.9,0,0,0,0,,0.2
105,994402886,2.0181E+13,0,0,1,,2,0,12.1,0,12.9,0,0,0,0,,0.2
105,994401042,2.0181E+13,37.1087,126.5396667,0,2,,0,12.4,0,13.6,0,0.38,0,0.21,3.72,
105,994401042,2.0181E+13,37.1087,126.5396667,0,2,,0,12.4,0,13.6,0,0.38,0,0.21,3.72,
105,994401042,2.0181E+13,37.1087,126.5396667,0,2,,0,12.4,0,13.6,0,0.38,0,0.21,3.72,
105,994403660,2.0181E+13,35.98326667,126.6413,1,2,2,0,12.6,0,13.9,0,0.29,2.77,0,0,
105,994402690,2.0181E+13,36.77322222,125.9746111,1,,2,0,12.7,0,12.7,0,0,0,0,0,
105,994402690,2.0181E+13,36.77322222,125.9746111,1,,2,0,12.7,0,12.7,0,0,0,0,0,
105,994403660,2.0181E+13,35.98326667,126.6413,1,2,2,0,12.6,0,13.9,0,0.29,2.77,0,0,
105,994402887,2.0181E+13,36.88477778,126.1777222,1,,2,0,12.1,0,12.9,0,0,0,0,,0.5
105,994403654,2.0181E+13,35.66211667,126.10705,0,2,2,0,13.4,0,14.7,0,0.24,0.03,0,0.65,
105,4406103,2.0181E+13,35.9335,126.5274167,0,2,2,0,12.5,0,13.8,0,0.26,0.22,0,0.04,
105,994401037,2.0181E+13,37.15633333,126.4165833,0,2,2,0,12.8,0,12.8,0,0.29,0,0,,1.02
105,994403654,2.0181E+13,35.66211667,126.10705,0,2,2,0,13.4,0,14.7,0,0.24,0.03,0,0.65,
105,994401038,2.0181E+13,37.32853333,126.3915833,1,2,2,0,13.1,0,13.1,0,0.06,0.16,0,,0.44
105,994401012,2.0181E+13,36.98085,126.8015667,0,2,2,0,6.9,0,13.9,0,0.1,0,0,0,
105,4406109,2.0181E+13,35.97471667,126.5129333,0,2,2,0,12.4,0,13.7,0,0.29,0.23,0,0.06,
105,4406101,2.0181E+13,35.98815,126.6945167,0,2,2,0,13.4,0,13.3,0,0.14,0,0,0,
105,994402983,2.0181E+13,35.39026667,126.4030667,1,2,2,0,12.3,12.3,12.4,0,0.3,0.38,0,0.02,
105,4406102,2.0181E+13,35.93345,126.52915,1,2,2,0,12.2,0,13.4,0,0.25,0.55,0,0.07,
105,994401037,2.0181E+13,37.15633333,126.4165833,0,2,2,0,12.8,0,12.8,0,0.29,0,0,,1.02
